id,time,intid,area,rsphone,acode,zip,ringer,intro1,intro2,srvyinfo,gender,rwdirusa,rwdiril,rwdirlocal,qlife,ccintro,recall,order1,concon,order2,rcc1,rcc1ccp,rcc1ccq,rcc2,rcc2ccp,rcc2ccq,ccr1,ccr1ccq,ccr1r,ccr2,ccr2ccq,ccr2r,tax_fed_val,tax_il_val,tax_fairshr,qlintro,qual_air,qual_infra,qual_cops,qual_K12,econ_local,qual_parks,concon_info,ilbudg_st,ilbudg_gdjob,ilbudg_prjob,ilbudg_gdjob1,ilbudg_prjob1,ilbudg_prjob2,ilbudg_gdjob2,ilbudg_intro,ilbudg_gov,ilbudg_leg,Ilbudg_senpres,Ilbudg_horspk,stfin_intro,stfin_total,stfinord,stfin1,stfin2,cuts_intro,cuts_K12,cuts_he,cuts_cops,cuts_parks,cuts_poor,pen_cuts,cuts_comment,tax_intro,tax_hinc,tax_sales,tax_services,gamble_exp,sell_il_asset,tax_comment,crts_intro,judic_apelect,judic_apelectfeel,judic_campissue,crts_intro2,cf_lim_judg1,cf_lim_judg2,cf_pub_judg1,cf_pub_judg2,crts4ord,crts4a,crts4b,demo_intro,birth_yr,hh_child,comun_type,zip2,county,education,employ_time,rent_own,marstatus,party_aff08,party_repstr,party_demstr,party_indystr,party_aff,rac_eth,hh_inc,numphones,havecell,gender2,cbtime,nrv,thanks,sorry,thanksc,results,spanish,date1,regwgt,gendwgt,rxgwgt
837,24,45,2,708747,708,60471,1,3, , ,2,2,1,1,3, ,3,2,2,2,999, ,999,999, ,999, ,999,999, ,1,3,5,1,2, ,3,3,3,4,5,3,3,2,1,0,1,0, , , ,1,3,8,3, ,1,1,1,999, ,2,2,2,1,2,2,1, ,1,2,2,2,2,1, ,2,1,2, ,4,4,4,2,1,2,999, ,1,0,2,60471,1,6,2,2,3,3, , ,3,4,1,1,2,1,2, , , , ,1,1, ,20081008,1.30841121495327,.83743842364532,1.09571382533033
187,22,45,2,708758,708,60411,1,2, , ,2,2,1,1,3, ,3,2,2,2,999, ,999,999, ,999, ,999,999, ,1,3,2,3,3, ,3,3,2,5,3,4,4,3,8,1, , ,1,8, ,3,3,3,3, ,2,1,2,999, ,2,2,2,2,8,2,1, ,1,2,1,2,1,0, ,8, ,2, ,1,1,3,1,1,1,999, ,1,1,2,60411,1,3,5,2,5,2, ,1, ,7,1,1,2,1,2, , , , ,1,1, ,20080925,1.30841121495327,.83743842364532,1.09571382533033
189,25,45,2,708839,708,60480,1,3, , ,2,2,2,2,3, ,2,2,1,1,999, ,999,999, ,999, ,1,2, ,999,999,5,5,2, ,4,4,3,3,4,5,4,4,8,1, , ,1,8, ,4,3,4,3, ,2,2,999,1, ,1,1,2,1,1,1,1, ,1,2,2,1,2,1, ,1,1,2, ,2,1,1,2,2,999,1, ,1,1,4,60480,1,3,5,1,1,3, , ,1,5,1,4,2,1,2, , , , ,1,1, ,20080925,1.30841121495327,.83743842364532,1.09571382533033
969,23,11,2,708841,708,60419,1,1, ,1,1,2,8,1,4,1,4,1,1,1,4,1,1,999, ,999, ,999,999, ,999,999,5,5,3,1,3,5,2,5,5,1,4,4,1,1, , ,1,1,1,3,3,2,2,1,2,2,999,1,1,2,2,2,2,2,2,0,1,1,2,1,1,1,8,1,1,2,2,1,4,1,3,1,2,999,2,1,1,3,3,60419,1,3,7,1,1,2, ,2, ,6,2,3,1,1,1, , , , ,1,1, ,20081003,1.30841121495327,1.25319693094629,1.63969691899515
218,20,79,2,708857,708,60453,1,2, , ,2,2,2,1,2, ,1,2,1,1,999, ,999,999, ,999, ,1,1, ,999,999,4,3,3, ,3,4,2,3,4,2,4,3,8,1, , ,1,8, ,3,3,2,2, ,2,2,999,1, ,2,2,1,2,2,2,1, ,1,2,2,1,2,0, ,1,1,2, ,3,3,2,1,1,1,999, ,1,3,2,60453,1,5,5,1,5,2, ,1, ,7,2,6,1,1,2, , , , ,1,1, ,20080929,1.30841121495327,.83743842364532,1.09571382533033
94,15,225,2,708891,708,60633,1,1, , ,1,2,2,2,3, ,2,1,1,1,2, ,1,999, ,999, ,999,999, ,999,999,5,2,3, ,3,4,4,4,4,4,3,4,0,1, , ,1,0, ,3,3,3,3, ,2,2,999,1, ,2,2,2,2,2,2,1, ,1,2,2,1,2,0, ,1,1,2, ,2,2,1,1,1,1,999, ,1,0,2,60633,1,5,5,1,1,2, ,1, ,7,2,5,1,1,1, , , , ,1,1, ,20080927,1.30841121495327,1.25319693094629,1.63969691899515
792,18,20,2,708925,708,60472,1,2, , ,2,2,2,2,3, ,1,2,1,1,999, ,999,999, ,999, ,1,1, ,999,999,5,5,3, ,5,5,5,4,4,5,4,5, , , , , , , , , , , , ,2,1,2,999, ,2,2,2,2,2,2,1, ,1,2,1,2,2,8, ,2,2,1, ,2,3,2,1,2,999,2, ,1,1,2,60472,1,5,5,1,1,2, ,2, ,6,2,4,1,1,2, , , , ,1,1, ,20081003,1.30841121495327,.83743842364532,1.09571382533033
207,23,11,2,708991,708,60429,1,2, ,1,2,2,2,2,4,1,3,2,1,2,999, ,999,999, ,999, ,999,999,1,2,3,5,4,3,1,3,3,2,2,2,3,2,3,1,1, , ,1,1,1,2,3,3,3,1,2,1,2,999,1,2,2,2,2,2,2,0,1,2,2,2,1,1,0,1,1,1,2,1,4,4,4,2,1,2,999,1,1,1,2,60429,1,5,5,1,5,2, ,1, ,7,2,3,1,1,2, , , , ,1,1, ,20080925,1.30841121495327,.83743842364532,1.09571382533033
501,20,239,1,773594,773,60631,1,1, , ,2,2,2,2,3, ,1,2,2,2,999, ,999,999, ,999, ,999,999, ,1,1,5,5,3, ,5,4,2,5,4,3,3,4,1,1, , ,1,1, ,4,4,4,4, ,2,2,999,1, ,2,2,2,2,2,2,1, ,2,2,2,2,1,8, ,2,2,2, ,1,1,4,2,1,2,999, ,1,0,1,60631,1,5,5,1,5,3, , ,3,4,1,3,3,1,2, , , , ,1,1, ,20081007,1.06976744186047,.83743842364532,.895864360178715
345,22,11,1,773667,773,60615,1, ,1,1,2,2,2,1,2,1,3,2,8,1,999, ,999,999, ,999,1,8,3, ,999,999,3,3,2,1,3,3,2,4,2,2,4,5, , , , , , , , , , , ,1,1,2,999,2,1,2,2,2,2,2,2,1,1,1,2,2,1,2,8,1,2,1,2,1,2,2,1,1,1,1,999,1,1,0,1,60615,1,6,3,1,5,2, ,1, ,7,2,4,1,1,2, , , , ,1,1, ,20080928,1.06976744186047,.83743842364532,.895864360178715
