id,area,type,cell,safe,spk_youngest,reg_voter,gender,rwdirusa,rwdiril,rwdirlocal,qlife,app_gov_rau,app_ussen_kirk,app_pres_oba,app_ussen_dur,fix_deficit_il,cuts_k12,cuts_he,cuts_he31,cuts_cops,cuts_parks,cuts_poor,cuts_disable,pen_cuts,tax_gas10,tax_services,gamble_exp,tax_ret_inc,tax_ret_inc50K,tax_temp_inc,tax_temp_inc45,tax_mil,tax_graduated,frack_know,frack_safe,frack_bene,grow_dt,safe_walk,mod_trans,mod_trans_other,prefer_cars,local_food,vet_greatest,vet_greatest_other,vet_2ndgreat,vet_2ndgreat_other,news_social,news_nat_paper,news_loc_paper,news_nat_tv,news_loc_tv,news_nat_radio,news_loc_radio,news_online_cons,news_online_libs,social_shrviews,pens_bnkrpt_il,pens_bnkrpt_chi,abort_leg,lg_coup_rts,feel_priv_union,feel_pub_unioin,feel_muslims,feel_lds,education,ideo_leans,ideology,party_leans,party_aff,employ_time,employ_type,retired_type,union,relig_often,relig_1,relig_2,religion,born_again,vet_you,vet_family,zip,age_cat,birth_yr,rac_eth,rac_eth_other,neighborhood,hh_inc,City,County,Latitude
015629,1,1, , ,1,1,1,2,2,2,2,5,4,2,4,3,2,1,1,2,1,1,1,1,1,3,4,2,1,4,3,4,2,1,2,1,2,2,5, ,1,2,2, ,7, ,7,7,3,7,2,7,7,4,4,1,1,1,2,1,2,4,2,2,6,3,2,5,3,1,1, ,2,4, ,1,1,2,5,1,60610,3,1980,1, ,5,7,Chicago,Cook,41.83
017426,2,2,1,1, ,1,1,2,2,1,2,1,4,4,4,2,2,1,2,2,2,2,2,2,2,4,1,2,2,1, ,1,1,1,4,2,2,1,1, ,1,2,14, , , ,7,7,5,1,2,1,0,7,7,1,2,2,1,2,1,1,1,2,5,6, ,4,2,1,4, ,2,5, ,3,3, ,5,1,60465,9,1950,2, ,7,7,Palos Hills,Cook,41.69
000505,1,1, , ,1,1,2,2,2,1,1,2,2,5,5,1,2,2,2,2,2,2,2,2,1,2,4,2,1,1, ,1,1,1,4,2,1,2,5, ,2,2,1, ,4, ,1,6,0,7,4,0,0,0,7,2,2,2,2,1,1,1,2,2,6,1,1,1,1,1,1, ,2,4, ,1,1,2,5,1,60605,5,1973,1, ,3,7,Chicago,Cook,41.83
016481,3,1, , ,1,1,2,1,2,1,2,1,4,5,1,1,2,3,2,2,1,2,1,2,1,4,3,2,1,2, ,2,1,4,5,2,1,4,1, ,1,2,14, , , ,7,7,7,7,7,0,0,0,0,1,2,2,2,1,2,2,2,2,3,4,3,1,1,2,2, ,1,1,1, ,1,2,5,2,61115,6,1968,1, ,7,1,Machesney Park,Winnebago,42.36
017806,3,1, , ,1,1,1,1,1,1,3,4,4,4,4,3,2,2,2,1,1,2,2,1,2,1,1,2,2,4,4,1,2,1,4,2,1,1,1, ,1,1,1, ,2, ,1,0,0,7,7,7,0,0,0,1,1,1,1,2,1,2,5,5,6,4,3,2,1,1,1, ,2,4, ,1,1,2,5,1,61265,9,1953,1, ,7,7,Moline,Rock Island,41.48
011211,1,1, , ,1,1,1,2,1,1,2,4,2,1,2,2,2,1,1,2,1,2,1,1,2,1,4,2,2,2, ,1,4,2,2,1,5,1,1, ,2,3,3, ,1, ,0,7,7,7,7,4,0,0,0,3,1,1,2,2,2,3,2,5,6,3,2,2,1,3, ,4,2,5, ,1,1,2,5,1,60525,11,1942,1, ,7,7,La Grange,Cook,41.8
017515,3,1, , ,1,1,1,2,3,1,2,9,9,2,2,2,2,1,2,2,2,1,1,1,2,2,4,1, ,4,4,2,3,2,5,2,3,1,1, ,1,2,3, ,1, ,0,2,1,7,7,1,0,7,0,3,2,3,1,1,2,2,2,5,2,4,3,5,3,3, ,1,1,3,1, ,1,2,2,1,60924,10,1948,1, ,8,3,Cissna Park,Iroquois,40.56
010016,2,1, , ,1,1,2,2,2,1,2,3,2,1,1,3,1,1,1,2,1,3,3,1,2,4,1,2,3,4,4,4,4,2,2,1,2,1,1, ,3,4,1, ,4, ,0,3,3,0,7,5,9,0,0,4,1,1,4,2,4,2,5,5,5,4,3,8, ,1,1, ,2,4, ,1,1,2,5,1,60181,6,1967,5, ,9,4,Villa Park,Dupage,41.88
011140,2,2,1,1, ,1,1,1,2,1,1,4,4,4,4,3,1,1,1,2,2,2,2,1,1,1,1,1, ,2, ,1,5,1,2,1,1,1,2, ,2,1,1, ,7, ,7,3,1,5,7,7,7,6,4,4,2,1,2,1,1,1,1,2,2,3,2,3,1,2,1, ,2,4, ,1,1,2,5,2,60473,5,1973,2, ,9,1,South Holland,Cook,41.59
015982,2,2,1,1, ,1,1,2,2,2,4,9,1,2,2,3,1,1,1,2,1,3,2,1,2,1,1,2,2,4,4,1,2,2,2,1,2,4,1, ,2,3,13,THE LACK OF MEDICAL FACILITIES; THEY'RE THERE; JUST LACKING THE ATTENTION THAT THEY GIVE THEM,3, ,0,6,7,5,7,7,7,5,5,1,1,3,2,4,5,5,5,5,4,3,2,4,2,2,1, ,1,1,1, ,1,2,5,1,60302,11,1940,5, ,3,9,Oak Park,Cook,41.88
