id,region,version,rwdirusa,rwdiril,rwdirlocal,qlife,app_pres_oba,app_gov_quin,app_teapar,vote_teapar,prim12_party,prim12_rep_pres,prim12_rep_pres_oth,pres12_oba_per,pres12_oba_cai,pres12_oba_rom,pres12_oba_pau,term_lim,cf_lim_judg,cf_pub_judg,cf_lim_leader,prim_nodeclr,redist_neutral,redist_commis,deficit_order,fix_deficit_il,cuts_K12,cuts_he,cuts_cops,cuts_parks,cuts_poor,cuts_dis,pen_cuts,tax_ret_inc,tax_retover50K,tax_sales,tax_services,gamble_exp,tax_cigs,latepay_order,latepay_il,img_road2cit,img_enforce,img_localarrest,img_childlegres,img_instatetuit,civility_order,civility1,civility2,will2compro,gen_betrldrs_bel,gen_wellqual_bel,gen_equalnum_bel,gen_betrldrs_thi,gen_wellqual_thi,gen_equalnum_thi,gen_betrldrs_feel,gen_wellqual_feel,gen_equalnum_feel,betteroff_now,betteroff_1yr,betteroff_other,gender,education,ideology_scale,ideology,party_aff_og,teaparty,employ_time,employ_type,retire_type,unemp_past12mo,union,relig_att_often,relig_att_lstmo,relig_type,religion,relig_denom,relig_epis,relig_bapt,relig_bret,relig_coc,relig_cog,relig_luth,relig_meth,relig_pres,relig_crc,relig_mean,relig_what,born_again1,born_again2,born_again,born_again_evan,bible_feel,bible_tho,bible_bel,birth_yr,rac_eth,rent_own1,rent_own2,ownhome,renthome,hhinc,fips,adi,dma,msa,nielson,census,date,duration,party_aff,teapar_collapse,gen_betrldrs_col,gen_wellqual_col,gen_equalnum_col,area
000829,2,1,2,2,1,2,1,2,3,4,2, , ,1, ,1,1,1,1,1,1,1,4,2,5,3,2,2,2,1,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,2,2, ,1,3,1,3, , , , , , ,2,3,2,2,3,2,2,3,2,3, ,3,1,1,5, , ,1,5, , , , , , , , , , , , , , , ,2, , ,1950,1,4, , , ,6,17031,196,140,1698,1,3,10/11/2011,19.3,1,2,3,1,3,2
000837,3,3,2,2,2,3,4,3,2,2,3, , ,2, ,3,2,1,3,1,4,1,1,1,3,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,1,1,1,1,1,3,1,5, , , , , , ,3,1,3,2,3,2,2,4,1,2,4,2,1,1, ,1,2,6, , ,9, , , , , , , , , , , , , , , , , , ,1,1955,1, , ,1,2,8,17155,676,556,9999,4,3,10/11/2011,23.59,2,1,3,1,3,3
000851,3,3,3,3,2,3,2,2,3,3,1,7, ,2, ,1,1,1,5,1,4,1,1,1,1,2,2,1,1,1,1,1,2,1, ,2,2,1,1,2,2,2,1,1,2,2,1,3,3,2, , , , , , ,3,1,3,3,2,3,2,5,1,3,3,2,1,3, ,1,1,1,1,1, ,5, , , , , , , , , , , , , , , , , ,2,1967,1, , ,1,2,5,17149,712,588,9999,4,3,10/11/2011,32.4,1,2,3,1,3,3
000880,2,3,3,1,1,3,1,1,5, ,2, , ,1, ,1,1,1,1,4,4,1,5,3,6,2,2,1,1,1,2,2,2,1, ,2,2,1,1,1,2,1,1,1,1,1,2,2, ,1, , , , , , ,3,1,3,3,1,1,2,3,1,1,3,2,3, ,3,2,2,3,1,2, , , , , , , , , , , , ,80, , , , , , ,1,1928,1, , ,2,1,1,17089,196,140,1698,1,3,10/11/2011,21.18,1, ,3,1,3,2
000976,1,1,3,3,3,3,2,2,5, ,4, , ,3, ,3,3,3,5,5,5,5,5,3,2,4,3,3,3,3,3,3,3,3, ,3,3,3,3,2,4,3,3,3,3,3,2,3,3,5,3,3,4, , , , , , ,4,4,4,2,1,2,9,8,2,5, , ,3,1,6, , ,1,89, , , , , , , , , , , ,5, , , ,4, , ,1976,5,6, , , ,8,17031,196,140,1698,1,3,10/11/2011,25.54,8, ,3,3,4,1
000982,2,3,2,1,1,5,2,2,4,4,2, , ,1, ,1,1,1,1,1,1,1,3,2,5,1,2,1,1,1,2,2,2,2,2,1,2,1,1,2,1,2,1,1,2,2,2,2, ,2, , , , , , ,1,1,2,3,3,2,2,3,2,1,3,2,3, ,3,1,2,3,2,1, ,10, , , , , , , , , , , , , ,1,1, , ,2,1944,2, , ,2,1,4,17031,196,140,1698,1,3,10/11/2011,28.22,1,2,1,1,2,2
000996,2,2,2,2,3,3,4,4,2,2,2, , ,2, ,2,2,1,1,1,1,5,3,1,3,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,2,1,1,1,2,1,3,3,1, , , ,3,1,3, , , ,3,3,2,2,2,1,2,2,1,3, ,4,2,2,2,2,1, ,30, , , , , , , , , ,7, , ,1, , , ,1, ,1935,1, ,1, , ,4,17089,196,140,1698,1,3,10/11/2011,23.26,1,1,3,1,3,2
001007,4,2,2,2,1,3,4,2,2,2,1,10, ,2, ,2,2,1,1,3,4,1,3,1,2,2,2,2,2,3,3,2,2,3, ,2,3,2,1,2,3,2,1,1,2,2,2,5,5,2, , , ,3,2,4, , , ,3,3,3,2,4,2,3,4,2,2,2, ,2,3,1,1,1, ,5, , , , , , , , , , , , , , , , ,2, ,1948,1, ,1, , ,8,17163,760,626,4118,1,3,10/11/2011,41.36,2,1,3,2,4,3
001017,4,1,2,2,1,4,4,4,2,2,3, , ,4, ,4,3,1,1,1,3,4,1,1,4,2,2,2,2,2,1,2,3,2,2,1,1,1,1,2,1,2,1,1,2,2,1,3,1,2,3,1,1, , , , , , ,2,2,2,2,3,1,3,4,1,1,3, ,2,2,4, , ,1,5, , , , , , , , , , , , , , , ,2, , ,1949,1,4, , , ,3,17027,760,626,4118,1,3,10/11/2011,28.27,2,1,3,1,1,3
001020,1,3,2,2,2,3,4,3,3,3,1,4, ,3, ,3,3,1,1,2,1,1,4,1,6,2,2,1,2,2,1,2,2,2,2,2,2,2,1,1,1,2,1,1,2,2,1,1, ,1, , , , , , ,3,1,3,2,3,2,2,6,2,3,4,2,3, ,3,2,2,4, , ,1,80, , , , , , , , , , , , , ,2,2, , ,1,1944,1, , ,1,2,5,17031,196,140,1698,1,3,10/11/2011,24.31,2,2,3,1,3,1
001061,4,3,2,2,1,2,2,2,5, ,2, , ,2, ,1,2,1,1,2,1,1,1,1,1,3,2,2,2,1,2,2,2,2,1,2,1,1,2,2,1,1,2,2,1,1,2,3,3,1, , , , , , ,3,1,3,1,3,3,2,3,1,2,3,2,1,3, ,2,1,5, , ,1,88, , , , , , , , , , , , , ,2,2, , ,2,1962,1, , ,1,2,5,17193,296,244,9999,4,3,10/11/2011,23.3,1, ,3,1,3,3
