id,area,type,cell,safe,spk_youngest,reg_voter,gender,rwdirusa,rwdiril,rwdirlocal,qlife,prim14_party,prim14_rep_gov,prim14_rep_gov_other,gov14_quin_raun,gov14_quin_raun_other,gov14_quin_brady,gov14_quin_brady_other,gov14_quin_dill,gov14_quin_dill_other,gov14_quin_ruth,gov14_quin_ruth_other,fix_deficit_il,tax_inc_temp,tax_temp_inc2,cuts_K12,cuts_he,cuts_cops,cuts_parks,cuts_poor,cuts_dis,pen_cuts,tax_sales,tax_services,gamble_exp,tax_ret_inc,tax_ret_inc50k,pen_refbill,term_lim,term_leader,term_resp,term_expert,term_fresh,term_lobby,crpt_city_com,crpt_county_com,crpt_city_impact,crpt_state_com,crpt_st_impact,crpt_fed_com,crpt_fed_impact,gun_own,schoolgrd,schoolgrd_tax,gun_conceal_expt,gun_conceal_safe,local_ce,national_ce,news_accurate,say_from,say_from_other,q46_a1,q46_a2,q46_a3,q46_a4,q46_a5,q46_a6,q46_a7,q46_a8,q46_a9,q46_a10,q46_a11,q46_a12,q46,hc_medicaid,hc_ins_quality,hc_ins_cost,hc_get_ins,hc_delayed,hc_condition,abort_leg,lg_rights,education,ideology,party_aff1,employ_time,employ_type,retired_type,relig_att_often,relig_type,religion,born_again,zip,age,birth_yr,rac_eth1,rac_eth_other,hhinc1,news_loc_tv,news_nat_np,news_npr,news_radio,news_msnbc,news_fox,news_cnn,news_bbc,news_huffpo,news_comedy,news_social,news_oth_dum,news_oth_word,news_no_contact,Generation,hhinc,party_aff,rac_eth
032695,3,1, , ,1,1,1,2,2,1,2,3, , ,1, ,9, ,1, ,9, ,2,2,9,2,2,2,2,2,2,1,2,2,1,2,1,1,1,1,2,3,1,3,3,3,2,4,3,3,3,1,1,1,9,1,3,3,3,6, ,6,5,9,7,2,1, , , , , , , ,2,3, , ,1,3,2,2,6,3,3,1,3, ,3,1, ,2,61953,6,1966,1, ,9,1,1,0,0,1,1,1,0,1,0,0,0, ,0,3,9,3,1
034043,3,1, , ,1,1,1,1,2,1,2,2, , ,9, ,9, ,9, ,9, ,3,2,3,2,2,2,3,2,2,2,1,1,2,3, ,9,3,1,2,3,2,9,2,4,2,9,2,2,2,2,2, ,2,2,3,3,2,11, ,1,10, , , , , , , , , , , ,2,3, , ,2, ,3,2,6,2,1,3, ,3,1,1, ,2,62208,10,1947,1, ,5,1,0,0,0,0,0,0,0,0,1,0,0, ,0,2,2,1,1
036039,3,1, , ,1,1,1,2,2,2,2,1,1, ,1, ,1, ,1, ,1, ,2,2,4,2,2,2,2,2,2,2,2,2,2,2,1,4,1,1,1,4,1,1,4,4,4,4,4,4,4,1,2, ,2,2,3,4,1,6, ,7,5,4,1,10, , , , , , , , ,2,2,1, ,1,1,1,3,5,3,3,3, ,1,2,1, ,2,62236,10,1948,1, ,6,1,0,0,1,1,0,1,0,0,1,0,0, ,0,2,3,3,1
028723,1,1, , ,1,1,2,2,1,1,1,2, , ,9, ,9, ,9, ,9, ,3,3, ,1,1,3,1,3,1,3,1,1,2,3, ,2,1,2,9,9,2,3,3,3,1,3,1,2,1,2,2, ,1,8,3,9,3,1, ,3,11,8,6,1,4,7, , , , , , ,2,9, , ,1,1,3,3,3,2,1,3, ,3,3,1, ,2,60616,10,1944,2, ,2,1,0,1,1,0,1,1,1,0,0,1,0, ,0,1,1,1,2
034244,1,1, , ,1,1,2,2,1,2,2,1,1, ,1, ,3, ,3, ,3, ,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,1,1,1,4,1,9,4,3,2,2,2,4,2,2,1,1,2,2,4,4,3,1, ,10,11,1,5,9,2,6,7, , , , , ,2,3, , ,2, ,1,1,5,2,3,1,1, ,4, ,9, ,60605,6,1966,1, ,7,1,1,0,0,1,1,1,0,1,1,1,0, ,0,3,4,3,1
028898,1,1, , ,1,1,2,1,2,1,3,2, , ,1, ,1, ,1, ,1, ,2,2,3,2,2,2,2,2,2,1,2,2,1,2,1,3,1,1,1,4,1,1,4,4,4,4,4,4,4,2,9, ,2,2,2,4,2,1, ,5,7,3,11,10,1,2, , , , , , ,2,3, , ,2, ,1,1,4,1,1,1,3, ,1,1, ,2,60616,6,1964,7, ,9,1,1,1,0,1,0,1,0,0,1,1,0, ,0,2,9,1,7
028940,3,1, , ,1,1,2,3,2,1,2,2, , ,4, ,3, ,3, ,3, ,5,1, ,2,2,1,1,2,2,2,2,2,2,2,3,9,1,3,3,9,2,9,9,9,1,3,1,9,9,9,1,2,9,9,1,2,2,99, ,1,6,3,10,4,7, , , , , , , ,2,3, , ,9, ,2,3,2,3,1,3, ,9,1,1, ,2,61104,99,0,2, ,9,1,0,1,1,0,1,1,0,0,1,0,0, ,0,0,9,1,2
033435,3,1, , ,1,1,2,1,2,1,4,2, , ,3, ,3, ,3, ,3, ,3,1, ,1,2,1,1,2,1,3,2,2,2,2,1,2,1,1,4,2,1,3,2,4,2,4,4,3,3,9,1,1,2,2,4,4,4,88,MIDWEST,11,4,9,1,3,7,5, , , , , , ,1,3, , ,1,1,1,1,3,2,1,3, ,1,1,1, ,1,62002,12,1936,1, ,4,1,0,1,1,1,0,1,0,1,0,1,0, ,0,1,2,1,1
035749,3,1, , ,1,1,1,2,2,2,5,1,10, ,1, ,1, ,1, ,1, ,5,2,4,2,1,1,2,2,2,2,2,2,2,2,2,4,1,1,1,4,1,4,2,1,3,4,3,4,3,2,1,2,1,1,2,3,2,11, ,11,4,6,1, , , , , , , , , ,9,3, , ,2, ,2,3,2,3,3,3, ,1,5, ,1,2,62888,10,1948,1, ,2,1,0,0,1,0,1,0,0,0,0,1,0, ,0,2,1,3,1
028517,3,1, , ,1,1,1,1,2,1,3,3, , ,1, ,3, ,3, ,9, ,2,2,4,2,1,2,2,2,1,1,2,2,1,2,2,1,1,1,1,4,1,9,3,3,2,4,3,4,3,2,1,1,1,2,3,3,4,6, ,4,6,1,5, , , , , , , , , ,1,3, , ,2, ,1,1,2,2,1,1,4, ,5, ,1,2,61272,11,1942,1, ,3,1,0,0,1,1,1,0,0,0,0,0,0, ,0,1,1,1,1
